Sample,Date,Site,Diptera,Hymenoptera,Hemiptera,Coleoptera,Lepidoptera,Orthoptera,Mollusca,Araneae,Thysanoptera,Collembola,Psocodea,Acarina,Opisthopora,Neuroptera
R1,7/1/2020,Dix,51,9,14,0,1,0,1,4,27,16,0,2,0,1
R2,7/1/2020,Dix,25,33,23,1,0,0,0,13,94,48,0,13,0,0
R5,7/1/2020,Allerton,68,20,21,2,0,0,0,5,15,49,0,5,0,0
R6,7/1/2020,Allerton,80,18,13,4,1,0,1,1,8,30,0,7,0,0
R7,7/1/2020,Rec,25,12,3,1,0,0,0,3,16,53,0,2,0,0
R8,7/1/2020,Rec,17,9,10,3,0,1,0,0,5,8,0,0,0,0
R9,7/15/2020,Dix,43,12,129,2,0,0,1,12,26,5,0,3,0,0
R10,7/15/2020,Dix,36,36,24,1,1,0,0,5,13,8,0,0,0,0
R11,7/15/2020,Allerton,132,21,302,5,0,0,0,5,21,12,0,0,0,0
R12,7/15/2020,Allerton,131,22,282,2,0,0,1,8,17,47,0,3,0,0
R13,7/15/2020,Rec,28,42,103,0,0,1,0,3,14,15,0,0,0,0
R14,7/15/2020,Rec,28,70,113,0,0,1,0,2,57,17,0,0,0,0
R15,7/27/2020,Dix,52,109,166,1,0,0,0,33,19,29,0,6,0,0
R16,7/27/2020,Dix,56,34,108,0,0,0,0,24,30,22,0,2,0,0
R17,7/27/2020,Allerton,49,35,325,6,0,0,0,16,14,74,0,3,0,0
R18,7/27/2020,Allerton,48,31,286,7,0,0,0,16,17,74,0,7,0,0
R19,7/27/2020,Rec,17,31,78,1,0,2,0,6,5,16,0,0,0,0
R20,7/27/2020,Rec,29,23,73,2,0,0,0,3,3,9,0,0,0,0
R21,8/11/2020,Dix,54,22,24,3,0,0,0,53,12,22,0,8,0,0
R22,8/11/2020,Dix,56,32,38,1,0,0,0,32,23,15,0,10,0,0
R23,8/11/2020,Allerton,88,59,108,4,0,0,0,9,4,35,0,5,0,0
R24,8/11/2020,Allerton,86,47,115,7,0,0,0,19,11,20,0,21,0,0
R25,8/11/2020,Rec,3,3,0,0,0,0,0,0,0,1,0,0,0,0
R26,8/11/2020,Rec,30,18,17,5,0,2,0,7,7,10,0,5,0,0
R27,8/26/2020,Dix,27,51,42,1,0,0,0,8,13,3,0,7,0,0
R28,8/26/2020,Dix,45,27,18,4,0,0,0,12,10,8,0,6,0,0
R29,8/26/2020,Allerton,70,48,31,22,0,0,0,10,7,10,0,26,0,0
R30,8/26/2020,Allerton,80,82,35,15,0,0,0,8,7,4,0,29,0,0
R31,8/26/2020,Rec,13,76,7,2,1,1,0,2,5,0,1,0,0,1
R32,8/26/2020,Rec,19,40,13,1,0,0,0,1,7,0,2,0,0,0
R33,9/7/2020,Dix,31,33,27,1,1,0,0,12,6,5,0,9,0,0
R34,9/7/2020,Dix,25,37,11,3,0,0,0,5,10,6,0,4,0,0
R35,9/7/2020,Allerton,36,34,26,5,1,0,0,12,2,17,0,7,0,0
R36,9/7/2020,Allerton,53,35,32,1,0,0,0,4,8,30,0,15,0,0
R37,9/7/2020,Rec,14,20,4,2,4,0,0,3,5,4,0,0,0,0
R38,9/7/2020,Rec,9,13,1,0,1,0,0,0,1,0,0,2,0,1
R39,9/23/2020,Dix,13,7,3,2,0,0,0,7,0,4,0,2,0,0
R40,9/23/2020,Dix,8,8,6,1,0,0,0,3,4,1,0,6,0,0
R41,9/23/2020,Allerton,6,9,13,1,0,0,0,4,1,4,0,6,0,0
R42,9/23/2020,Allerton,13,8,4,0,0,0,0,4,1,3,0,3,0,0
R43,9/23/2020,Rec,6,24,6,1,0,0,0,2,3,8,0,0,0,0
R44,9/23/2020,Rec,22,12,8,0,0,0,0,5,0,6,0,1,0,1
